column,missing_count,missing_pct,leading_nan_run_h,trailing_nan_run_h,internal_nan_count,max_internal_gap_h,first_missing_ts,last_missing_ts,refined_missing_count,inherited_vs_introduced,likely_cause
afrr_activated_mw_pos_lag_2h,3,0.006520463387598079,1,2,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_activated_mw_pos_lag_3h,3,0.006520463387598079,2,1,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_capacity_awarded_mw_neg_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
afrr_capacity_awarded_mw_pos_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
afrr_capacity_offered_mw_neg_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
afrr_capacity_offered_mw_pos_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
mfrr_activated_mw_neg_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_neg_lag_2h,3,0.006520463387598079,1,2,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_neg_lag_3h,3,0.006520463387598079,2,1,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_pos_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_pos_lag_2h,3,0.006520463387598079,1,2,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_activated_mw_pos_lag_3h,3,0.006520463387598079,2,1,0,0,2020-11-30 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
mfrr_mari_net_mw_lag_1h,3,0.006520463387598079,0,3,0,0,2026-03-01 00:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
wind_onshore_actual_entsoe_std_168h_lag_2h,3,0.006520463387598079,3,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 03:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
wind_onshore_actual_entsoe_std_24h_lag_2h,3,0.006520463387598079,3,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 03:00:00+00:00,,,Rolling/statistical warmup window introduces head NaNs
wind_total_error_da_lag_2h,3,0.006520463387598079,0,0,3,1,2023-10-29 00:00:00+00:00,2025-10-26 00:00:00+00:00,,,Inherited source gap(s) inside series
NRV_balance_lag_3h,2,0.0043469755917320526,2,0,0,0,2020-11-30 01:00:00+00:00,2020-11-30 02:00:00+00:00,,,PiT lag layer or source latency (head NaNs expected)
afrr_capacity_awarded_mw_neg_lag_2h,2,0.0043469755917320526,0,2,0,0,2026-03-01 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
afrr_capacity_awarded_mw_pos_lag_2h,2,0.0043469755917320526,0,2,0,0,2026-03-01 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
afrr_capacity_offered_mw_neg_lag_2h,2,0.0043469755917320526,0,2,0,0,2026-03-01 01:00:00+00:00,2026-03-01 02:00:00+00:00,,,Tail-only truncation (future-shift target/horizon feature)
